shop_name,shop_id,shop_name_translated
"!Якутск Орджоникидзе, 56 фран",0,"야쿠츠크, 오르조니키제, 56"
"!Якутск ТЦ ""Центральный"" фран",1,"야쿠츠크, ""센터럴"" 쇼핑센터"
"Адыгея ТЦ ""Мега""",2,"아디게야, ""메가"" 쇼핑센터"
"Балашиха ТРК ""Октябрь-Киномир""",3,"발라시하, ""옥탸브르-키노미르"" 쇼핑몰"
"Волжский ТЦ ""Волга Молл""",4,"볼즈스키, ""볼가 몰"" 쇼핑센터"
"Вологда ТРЦ ""Мармелад""",5,"볼로그다, ""마르멜라드"" 쇼핑센터"
"Воронеж (Плехановская, 13)",6,"보로네시, 플레하노프스카야 13"
"Воронеж ТРЦ ""Максимир""",7,"보로네시, ""막시미르"" 쇼핑센터"
"Воронеж ТРЦ Сити-Парк ""Град""",8,"보로네시, 시티 파크 ""그라드"" 쇼핑센터"
Выездная Торговля,9,방문 판매
Жуковский ул. Чкалова 39м?,10,"주코프스키, 츠칼로바 39m"
Жуковский ул. Чкалова 39м²,11,"주코프스키, 츠칼로바 39m²"
Интернет-магазин ЧС,12,인터넷 쇼핑몰
"Казань ТЦ ""Бехетле""",13,"카잔, ""베헤틀레"" 쇼핑센터"
"Казань ТЦ ""ПаркХаус"" II",14,"카잔, ""파크하우스"" II 쇼핑센터"
"Калуга ТРЦ ""XXI век""",15,"칼루가, ""21세기"" 쇼핑센터"
"Коломна ТЦ ""Рио""",16,"콜롬나, ""리오"" 쇼핑센터"
"Красноярск ТЦ ""Взлетка Плаза""",17,"크라스노야르스크, ""브즐레트카 플라자"" 쇼핑센터"
"Красноярск ТЦ ""Июнь""",18,"크라스노야르스크, ""이윈"" 쇼핑센터"
"Курск ТЦ ""Пушкинский""",19,"쿠르스크, ""푸슈킨스키"" 쇼핑센터"
"Москва ""Распродажа""",20,"모스크바, ""세일"""
"Москва МТРЦ ""Афи Молл""",21,"모스크바, ""아피 몰"" 쇼핑센터"
Москва Магазин С21,22,"모스크바, S21 매장"
"Москва ТК ""Буденовский"" (пав.А2)",23,"모스크바, ""부데노프스키"" 쇼핑센터 (A2관)"
"Москва ТК ""Буденовский"" (пав.К7)",24,"모스크바, ""부데노프스키"" 쇼핑센터 (K7관)"
"Москва ТРК ""Атриум""",25,"모스크바, ""아트리움"" 쇼핑몰"
"Москва ТЦ ""Ареал"" (Беляево)",26,"모스크바, ""아레알"" 쇼핑센터 (벨랴예보)"
"Москва ТЦ ""МЕГА Белая Дача II""",27,"모스크바, ""메가 벨라야 다차"" II 쇼핑센터"
"Москва ТЦ ""МЕГА Теплый Стан"" II",28,"모스크바, ""메가 뜨플리 스타니"" II 쇼핑센터"
"Москва ТЦ ""Новый век"" (Новокосино)",29,"모스크바, ""노비 벡"" 쇼핑센터 (노보코시노)"
"Москва ТЦ ""Перловский""",30,"모스크바, ""페를로브스키"" 쇼핑센터"
"Москва ТЦ ""Семеновский""",31,"모스크바, ""세멘노프스키"" 쇼핑센터"
"Москва ТЦ ""Серебряный Дом""",32,"모스크바, ""세레브랴니 돔"" 쇼핑센터"
"Мытищи ТРК ""XL-3""",33,"므이티쉬, ""XL-3"" 쇼핑몰"
"Н.Новгород ТРЦ ""РИО""",34,"니즈니노브고로드, ""리오"" 쇼핑센터"
"Н.Новгород ТРЦ ""Фантастика""",35,"니즈니노브고로드, ""판타스티카"" 쇼핑센터"
"Новосибирск ТРЦ ""Галерея Новосибирск""",36,"노보시비르스크, ""갤러리아 노보시비르스크"" 쇼핑몰"
"Новосибирск ТЦ ""Мега""",37,"노보시비르스크, ""메가"" 쇼핑센터"
"Омск ТЦ ""Мега""",38,"옴스크, ""메가"" 쇼핑센터"
"РостовНаДону ТРК ""Мегацентр Горизонт""",39,"로스토프나도누, ""메가센터 호리존트"" 쇼핑몰"
