"TITLE","TEXT"
올해 외형과 수익성 모두 개선 기대,"작년 연결 매출액과 영업이익은 각각 945억원(+16.3% yoy), 79억원(+1.8% yoy)을 기록. 전자결제사업 부문 매출이 664억원으로 5.6%(yoy) 증가했는데, 이는 휴대폰 소액결제 감소에도 불구하고 신용카드 등 기타PG 매출 34.6%(yoy) 성장에 기인. O2O사업 부문은 241억원(+37.9% yoy)을 기록함. 편의점 기반 결제(선불결제 등)가 2.7%(yoy) 증가에 그쳤지만, 상품권 및 쿠폰 매출이 67.3% 늘면서 부문 외형 성장을 견인. 또 기타사업(머니트리 등)도 40억원으로 339.4%(yoy) 성장함. 다만 수익성이 높은 휴대폰 소액결제 가맹점(게임 등 디지털 컨텐츠)의 거래대금이 급감함에 따라 전사 마진율은 1.2%p(yoy) 하락함. 올해 연결 매출액은 1,086억원(+15.0% yoy), 영업이익은 102억원(+29.7% yoy)으로 추정됨. 전자결제, O2O 등 전 사업 부문에서 고른 성장세가 나타날 전망이며 특히 작년 4분기부터 휴대폰 소액결제 실적이 회복되고 있어 이익 개선 기대감도 유효함. 부문별로, 전자결제사업 매출은 755억원(+13.8% yoy)으로 전망됨. 휴대폰 소액결제가 9.9%(yoy) 늘고, 온라인 쇼핑 및 간편 결제 증가세와 맞물려 통합 전자결제(PG) 매출도 19.4% 증가할 전망. O2O사업 매출액은 286억원(+18.5% yoy)으로 예상됨. 모바일 상품권·쿠폰 선물 수요가 확산되고, B2B향 모바일 백화점 상품권 판매도 증가할 전망. 실제로 국내 e쿠폰 거래액이 2018년 2조원을 넘어 작년 5조 9,147억원(+38.6% yoy)으로 빠르게 확대되고 있어 시장 성장의 수혜가 당분간 이어질 전망. 작년 11월 초 런칭한 NFT마켓 플랫폼(메타갤럭시아)의 거래대금은 2월 누적 기준 9.4억원(102개 작품)을 기록, 서비스 초반임을 고려하면 양호한 판매 실적을 기록 중. 최근 효성중공업과 분양 예정 오피스텔의 NFT를 발행하는 등 B2B 비즈니스를 확대하며 NFT 거래 시장에서 경쟁력을 강화해갈 것으로 전망됨. "
"1분기 기대 이상. 아직 저평가 구간","LG이노텍의 2022년 1분기 매출액은 2021년 4분기 대비 32.2% 감소한 3조 8,827억 원으로 예상한다. 매출 감소는 광학솔루션이 주도할 것으로 전망한다. 기판소재는 6.1% 감소할 것으로 예상하고, 전장부품은 기저 효과로 23.6% 수준의 감소를 예상한다. 2022년 1분기 영업이익은 2021년 4분기 대비 16.8% 감소한 3,575억원으로예상한다. 매출액 감소에 따른 영향으로 분석된다. 지난해 대비 3.1% 증가할 것으로 예상한다. 이전 전망 대비 상향 조정하였고, 원/달러 환율 상승 영향이 큰 것으로판단한다. LG이노텍의 2022년 매출액은 2021년 대비 12.1% 증가한 16조 7,514억 원으로 예상한다. 매출 감소는 광학솔루션, 기판소재 사업부가 주도할 것으로 전망한다. 전장부품은 전장 카메라 이전을 제외하면 소폭 개선될 전망이다. 2022년 영업이익은 2021년 대비 15.7% 증가한 1조 4,629억원으로 예상한다. 매출액 증가에 따른 영향으로 분석된다. 광학솔루션, 패키징, 전장부품의 매출 증가 및 전장부품 적자폭 감소가주요 원인일 것으로 예상한다. LG이노텍에 대한 투자의견을 매수로 유지한다. 이는 광학솔루션에서 기대할 수있는 영업이익 규모가 연간 1조 원에 육박하고, 이례적으로 높았던 지난해 1분기 수준의 영업이익이 2022년에도 가능할 것으로 기대되고, 부진했던 전장부품 사업부도 2022년 하반기에는 영업 흑자 전환이 가능할 것으로 기대하고, 아직 실적 대비 주가는 저평가가 구간에 있다고 판단하기 때문이다. LG이노텍에 대한 목표주가는 415,000원에서 520,000원으로 상향한다. 12개월 예상 EBITDA에 EV/EBITDA 5.0배를 적용한 수준이다. "
올라갈 일만 남았다,"Investment Fundamentals (IFRS연결) FYE Dec 매출액 (증가율) 영업이익 (증가율) 지배주주순이익 EPS PER (H/L) PBR (H/L) EV/EBITDA (H/L) 10.5/8.0 영업이익률 ROE. 1Q22 실적 기대 이상: 1Q22 매출액은 3조 9,227억원, 영업이익은 2,330억원으로 당초 추정치 (3조 3,984억원, 1,936억원)을 상회할 전망이다. 클라우드 MSP(Managing Service Provider)사업 강화, IT Shared center 구축 등 투자가 집중되는 와중에도 효율적인 비용 통제로 IT서비스 마진이 1Q22에 13% 이상으로 시작하는 건 긍정적이다. 전자업종 관계사의 스마트팩토리와 하이브리드클라우드 사업 성과가 돋보인다. 물류는 물류운임이 강세를 보이면서 매출액, 수익성 모두 기대 이상이고 향후 물류운임이 빠지더라도 물동량이 증가할 수 있어 안정적인 흐름이 이어질 것이다. 22년 영업이익은 24% 증가해 지난 2년 연속 영업이익 역성장 굴레에서 벗어날 전망이다. IT서비스 투자 후 향후 성과 기대: 동사는 클라우드 사업 강화를 위해 조직 개편을 단행했고 수천명규모의 전문가를 확보해 하반기 MSP사업의 본격화를 예고하고 있다. 또한 글로벌 클라우드 파트너들과 협업해 영업 채널을 다변화하고 있다. 솔루션 사업부는 ERP, MES, SCM 등 주요 솔루션을 중심으로 SaaS 사업을 확대할 계획이다. 이러한 노력이 침체된 IT서비스 사업에 활력을 줄 것이다. "
충분히 반영된 주가,"지난해 말 면세 채널의 매출 공백에 이어 2022년 1분기에도 중국의 엄격한 코로나19 방역 정책 및 전년 기저 부담에 의한 대중국 매출의 감소 추세 지속 우려로 부진한 주가 흐름 시현 중 - LG생활건강의 대표 브랜드인 후(The History of Whoo)는 중국 내 견고한 브랜드력을 바탕으로 2021년 매출액 2.9조원에 육박 - 대외변수로 연초 이후 불확실성이 확대되고 있는 점은 아쉽지만 코로나19라는 변수가 상수로 전환되고 6ㆍ18 쇼핑 페스티벌을 앞두고 대기 수요 발생 확인 시 저평가 매력 부각 기대. 2022년 1분기 LG생활건강의 연결 기준 매출액은 2조 1,037억원(+3% yoy, +4% qoq), 영업이익은 3,553억원(-4% yoy, +47% qoq)으로 종전 대신증권 추정 영업이익 3,568억원, 컨센서스 영업이익 3,642억원 부합 전망 - 1~2월 화장품의 면세 채널 매출액은 -5% yoy로 국내 면세 시장 성장률과 유사, 3월은 -6% yoy으로 추정하여 1분기 면세 매출액은 -5% yoy로 추정 - 중국 화장품 매출액은 오프라인 채널 매출액이 -14% yoy로 부진했던 반면 온라인 채널 매출액이 +9% yoy 성장하며 현지 통화 기준 중국 매출액은 -5% yoy로 추정 - 중국 화장품 시장의 경쟁 심화 영향, 이익 기여도가 높은 국내 면세 채널 매출 역신장 영향으로 화장품 영업이익률은 19.5%(-2%p yoy)로 추정 - 생활용품 매출액은 5,549억원(+7% yoy), 영업이익은 721억원(+9% yoy), 음료 매출액은 3,784억원(+6% yoy), 영업이익은 549억원(+10% yoy)으로 종전 추정치에서 변동 없음. "
이제 팝콘만 남았다,"본사, 터키, CGI(동남아 SPC), 4DX의 21년 실적을 합산한 SOTP 방식 적용 1Q22 Preview: 점진적으로 개선 중 - 연결 매출 2.4천억원(+38% yoy, -1.2% qoq), OP -334억원(적지, +294억원 yoy, 적지, +104억원 qoq) 전망 - 국내 매출 787억원(+51% yoy, -30% qoq), OP -396억원(적지, +130억원 yoy, 적지, -123억원 qoq) 전망 - 띄어앉기가 적용 중이지만, 일행끼리는 붙어 앉을 수 있고, 극장 성수기 일부 작품을 제외하면 평균 객석점유율은 21%여서, 큰 영향 없음 - 상영시간 제한도 적용 중이지만, 23시 이전 시작 영화까지 상영 가능하기 때문에, 역시 큰 영향은 없다고 판단 - 이제 남아있는 제한 사항은 극장내 취식. 향후 방역 방침은 지속적으로 규제를 완화하는 방향이기 때문에, 6월 성수기 진입 이전에 취식 제한도 풀리게 될 것으로 전망. 3Q22부터 연결/별도 모두 흑자 전망. - 국내 전국 관객수는 3/28 기준 1.2천만명(+46% yoy), 박스오피스(BO)는 1.1천억원(+53% yoy). 성수기 진입 이전이고 아직 취식 제한이 남아있지만 꾸준히 개선 중. 취식 허용시 당사 추정 22년 관객수는 1.3억명(+110% yoy) 전망 - 1Q22 중국 BO는 3/28 기준 -23% yoy. 하지만, 이미 중국은 21년 BO가 19년의 74%까지 회복되어서, 정상 수준에 근접한 상황 - 1Q22 터키 BO는 3/24 기준 1Q19의 138%로 역대 최고 실적 달성 중 전세계 극장은 거의 정상 운영 중. 이제 안심하고 영화 보세요. 21년초부터 개봉작들은 꾸준히 등장. 21.12월 개봉한 <스파이더맨: 노 웨이 홈>은 752만명 동원. 볼거리는 충분하기 때문에, 극장의 완전 정상화도 임박 - 21.6월 3천억원 규모의 CB 발행 및 21.7월 전환청구 시작 후 주가는 전환가액인 26.6천원과 CGV의 콜옵션 가격인 34.6천원에서 거래 후, 21.11월 급락. 이제 포스트 코로나 체제로 전환되고 있기때문에, 주가는 다시 26.6~34.6천원의 박스권 거래 지속 후, 25% 수준인 CB 전환 마무리되는 시점에 추세 상승 전망 - CJ올리브네트웍스의 광고사업부문을 흡수한 것도 실적 및 주가에 긍정적. 해당 부문은 OOH(옥외광고)와 DX(Digital Experience) 사업. 광고주가 CGV의 스크린 및 ID 등에 집행하는 광고 등을 대행하는 사업 및 CJ그룹 계열사의 광고 대행 등을 담당. 해당 부문의 이익 기여도는 약 100억원 수준으로 추정. "
아직은 추운 겨울,"중국 내 코로나19 재확산 영향으로 대중국 수요가 위축될 것으로 예상됨에 따라 면세 채널과 중국 법인 실적 추정치 하향 조정. 2022년 1분기 아모레퍼시픽의 연결 기준 매출액은 1조 2,909억원(+3% yoy, -3% qoq), 영업이익은 1,227억원(-30% yoy, +380% qoq)으로 종전 대신증권 추정 영업이익 1,369억원, 컨센서스 영업이익 1,467억원 하회 전망 - 디지털 채널 매출액은 +21% yoy로 지난해 매분기 높은 성장률을 기록해온데 따른 기저 부담에도 높은 성장세가 이어질 전망 - 국내 면세 매출액은 1, 2월은 역신장, 3월은 전년 수준에 그치며 1분기 국내 면세 매출액은 -13% yoy로 기존 추정치 하회 전망 - 중국 현지 통화 기준 매출액의 경우 3월 설화수 자음생세럼 출시 효과로 설화수 매출액은 +19% yoy로 추정되나, 이니스프리 온라인 채널에서의 전년 기저 부담 및 비효율 오프라인 매장 폐점 영향으로 오프라인 채널 매출액이 크게 감소하여 이니스프리 매출액은 -60% yoy로 추정. 이에 중국 법인의 현지 통화 기준 매출액은 -9% yoy로 추정. 중국 매출 감소로 아시아 지역의 영업이익률은 3%(-9%p yoy)로 전년 대비 수익성 악화가 불가피할 전망. 중국의 엄격한 코로나19 방역 정책으로 주요 대도시의 도시봉쇄가 이뤄지며 물류 차질이 불가피하고 이는 온오프라인 판매 차질로 이어질 전망 - 예상치 못한 대외변수로 국내 면세 채널의 불확실성 역시 확대되는 분위기 - 시장 상황도 아쉽지만 아모레퍼시픽의 국내 면세 채널 매출액이 전체 시장 성장률을 하회하는 흐름이 이어지고 있다는 점은 우려 요인. "
"1Q 예상 방향으로 순항","2022년 1분기 실적(연결)은 개선 및 호조 예상의 방향으로 진행 판단. 영업이익은 2,869억원으로 전분기(8%) 및 전년대비(116%) 증가, 종전 추정치 및 컨센서스에 부합으로 추정. 매출은 3.8조원으로 전년대비 28.3%(증가 /-0.3% qoq) 등 성장 예상 - EV향 매출은 1.3조원(10% yoy/2% qoq)으로 자동차 업체의 생산 차질은 존재하였으나 주요 고객으로 공급은 안정적 진행. 소형전지는 원형의 EV향 공급 증가, 전자재료는 OLED와 반도체 중심으로 안정적 매출 예상 - 1분기 실적은 순항 및 다시 긍정적인 요인 부각으로 판단. 투자의견은 매수(BUY) 및 목표주가 850,000원(2022년 목표 P/E 42.3배 적용) 유지, 밸류에이션은 경쟁사대비 및 최근 1년 기준으로 낮은 수준, 비중확대로 판단. 투자포인트는 - 2022년 EV 및 ESS 포함한 중대형 전지의 성장은 순항 중으로 판단. EV 매출(6.4조원)은 40.5%(yoy), ESS 매출은 26.4%(yoy) 증가 등 시장 및 고객사의 라인업 확대로 중대형 전지의 성장 전망은 변화가 없음. 최근 반도체 및 공급망 이슈로 자동차 업체의 생산 차질이 존재하나 전년동기대비(28.1%) / 전분기대비(6.4%) 증가 등 EV의 2022년 1분기 매출 성장은 지속. 또한 흑자 기조 유지 점도 주요 원재료 비용 증가를 감안하면 수익성 중심의 성과가 2022년에 가시화 전망. 미국 자동차 업체와 협력 강화 및 투자가 진행되면 2024년 생산능력 확대, 매출 측면에서 한단계 도약 예상. 주요 수익원인 소형전지와 전자재료의 안정적인 성장은 유효. 소형전지의 성장은 높은 동시에 안정적으로 판단. 원형전지 중 EV향 매출이 본격화, 매출 비중은 2021년 14%에서 2022년 23%로 증가, 전동 공구의 모빌리티화 추세로 기존 원형 전지의 매출 성장도 지속. 또한 폴리머 전지도 스마트폰내 폴더블폰 비중 확대로 평균공급단가 상승으로 매출 성장. 2022년 소형전지의 매출(5.96조원)은 24.4%(yoy) 증가 추정 - 디스플레이 시장내 OLED 패널 비중 확대, LCD 패널의 대형화 추세, 반도체는 메모리와 비메모리 시장 성장 예상. 전자재료는 전방산업의 패러다임 변화 및 시장 확대 영향으로 2022년 안정적인 영업이익(5,143억원) 예상. "
"차량용 반도체 첫 성과, 지금부터가 시작","파워반도체 소자를 생산하는 트리노테크놀로지가 3월부터 차량용 전력 반도체 공급 시작함. 동사가 공급하는 IGBT는 공조 시스템에 장착되어 차량 내 온도 조절기능 역할을 하며 전기차에 들어감. 금번 계약 건 외에도 추가 공급을 진행하고 있으며 판매지역 확장, 고수익성 품목인 만큼 긍정적. 트리노테크놀로지는 공조시스템뿐 아니라 전기차 충전시스템인 OBC, 컨버터 등에 적용되는 제품도 개발하고 있는 등 차량용 전력 반도체 포트폴리오를 다각화하고 있으며 기존 가전제품 및 산업용 매출 구조에서 자동차 향 매출 확산의 첫 걸음 시작. 최근 전 세계적으로 차량용 반도체 수급이 쉽지 않은 가운데 트리노테크놀로지의 기술력과 생산력이 부각되면서 러브콜이 많이 오고 있는 상황이며 수익성도 좋은 품목인 만큼 향후 트리노테크놀로지의 실적 확대로 이어질 것으로 예상. 아이에이 2021년 실적은 매출액 812억원(+39.0%, YoY)과 영업이익 67억원(+53.6%, YoY) 시현. 부문별로는 반도체와 모듈 매출액이 전년대비 각각 30% 이상 성장하면서 전사 외형 확대를 견인했으며 특히 반도체는 2018년 이후 연간 200억원대 매출액으로 다시 올라섬. . 아이에이 별도로는 반도체칩의 설계용역과 제조판매 사업에 주력하면서 국내외 매출액이 늘어나고 있고 자회사 파워트론과 트리노테크놀로지를 통해 전장용 전력모듈 공급 증가, 전력 반도체 매출 확대 등으로 기초체력 강화되고 있는 중. 영업이익률도 2019년 흑자전환 이후 매년 좋아지고 있으며 2021년 영업이익률도 전년대비 0.8%p 개선된 8% 달성. 트리노테크놀로지는 IGBT 전기차향 공급 외에도 차세대 전력반도체 SiC 양산을 위한 준비도 진행 중. 최근 부지 매입계약을 체결했으며 올 하반기에 공사를 시작할 예정임. 2024년 하반기부터 연간 2만장 규모의 SiC 반도체 생산을 시작으로 연간 최대 10만장 규모까지 생산능력 확충할 계획. 전력 반도체 소재는 주로 실리콘(Si)이 사용되고 있으며 친환경차, 신재생 에너지 등 전력 반도체의 적용 범위가 넓어지면서 새로운 소재에 대한 수요 증가. 이에 화합물 반도체인 SiC와 GaN이 주목받고 있으며 SiC는 뛰어난 전기적 및 열적 특성 보유. 현재 국내에서 개발하고 있는 업체들도 많지 않아 향후 다양한 소재를 기반으로 전력 반도체를 만들 수 있는 업체가 부각될 것으로 판단. . "
용평리조트에 주목할 3가지 이유,"지금 용평리조트에 주목해야하는 3가지 이유는 중장기 분양 파이프라인 확보/수익 인식 방법 변경 관광 콘텐츠 다변화 리오프닝 본격화에 기인한다. 이로써 과거 용평리조트 주가의 주요 디스카운트 요인으로 작용했던 분양매출 부재에 따른 실적공백 스키/골프에 국한된 콘텐츠 펜데믹에 따른 운영매출 감소가 올해부터 점진적으로 해소될 것으로 전망한다. 동사의 현재 주가 수준은 연평균 영업이익 300억원대를 달성하던 16-18년도의 50% 수준이며 올해부터 가시화될 동사의 체질개선과 함께 주가 상승이 동반될 것으로 예상한다. I. 중장기 분양 파이프라인 확보: 2025년까지 총 4개의 대규모 분양 파이프라인 확보 (총 분양대금 1.1조원 추정) 분양 매출 인식 기준 변화에 따라 2023년부터 실적 공백 없이 연평균 1.5천억원 수준의 분양 매출액이 발생할 것으로 전망한다. II. 관광 콘텐츠 다변화: 2022년 ‘모나파크’ 구축을 통해 용평리조트 방문의 주요 목적이 과거 단순 스키/골프 위주의 레저 콘텐츠에서 문화예술+힐링체험 등으로 다변화될 것으로 전망한다. 이에 따라 운영 부문의 분기 실적 변동성이 완화될 것으로 예상하며 연평균 1.3천억원 수준의 운영 매출이 발생할 것으로 추정한다. III. 리오프닝 수혜: 올해부터 국내외 코로나 방역 규제가 본격적으로 완화되면서 운영 부문에서의 실적 회복이 가시화 될 것으로 전망한다. 특히 부가가치가 일반 고객 대비 약 1.5배 높은 수백명 단위의 단체 고객들의 방문 재개가 예상되며 이에 연간 약 1.2억명이 방문하는 국내 1위 여행지인 강원도의 수혜를 충분히 누릴 수 있을 것으로 전망한다. 용평리조트 2022년 실적은 매출액 1,538억원 (YoY -34.9%)과 영업이익 66억원 (YoY -78.5%)으로 전망한다. 올해는 분양파이프라인 분양 매출인식기준 변화 관광 콘텐츠 생태계를 구축하는 원년이기 때문에 전년대비 실적 감소는 불가피 할 것으로 전망한다. 2023년부터는 이러한 체질개선이 본격화 되며 연간 매출액 2,778억원 (YoY +80.6%)과 영업이익 305억원 (YoY +361.4%)을 달성할 것으로 추정한다. "
"2차전지 장비 수주 지속 중! 로봇 사업 모멘텀도 주목","브이원텍은 연초 이후 꾸준한 수주 공시를 통해 실적 성장에 대한 기대감이 커지는 상황. 실제로 동사는 2차전지 검사시스템(1/3 87억원, 3/11 32억원)및 LCD/OLED 압흔검사기(2/3 20억원, 3/11 32억원, 3/17 16억원)를 기수주. 향후 주요 고객사의 꾸준한 2차전지 장비 투자 확대 및 공정전환(대형 디스플레이 투자 등)의 꾸준한 수혜 예상. 브이원텍의 2022년 예상 매출액 및 영업이익은 각각 718억원(YoY +40.5%)과 104억원(YoY +108.0%) 수준으로 전망. 동사는 2021년(매출 성장률 YoY +64.3%)에 이어 고성장을 이어갈 전망. 근거는, 2차전지 매출 확대, 자회사인 시스콘의 실적 급증, 디스플레이 턴어라운드 등. 브이원텍의 부문별 매출 비중(2021년 기준)은, 2차전지 검사시스템 50.4%, 디스플레이 압흔검사기 32.2%, AMR(로봇사업) 9.1%, OLED 라미네이션 1.1%, 공장자동화 상품 및 용역 5.8% 등. 브이원텍은 2차전지 산업의 투자확대(특히 주요고객사인 L사의 사업확장) 추세에서 지속적인 수주 확대 기대. 특히 L사는 ‘Z-스택킹’ 공법 도입을 결정(언론보도상)해 동사의 제품 경쟁력 및 소형 검사장비 납품 이력이 부각될 전망. 브이원텍의 자회사인 시스콘의 지분 가치에도 관심 가질 시점. 동사는 지난 4월 사업다각화를 목적으로 AMR 기반의 산업용 로봇제조 및 자동화 설비회사인 시스콘(21.3Q 지분율 53.6%)을 인수. 브이원텍은 시스콘을 통해 중장기적인 성장 모멘텀을 강화할 전망. 시스콘은 국내외 대형고객사와의 공급계약 이력을 바탕으로, AMR 및 공장자동화 매출이 크게 늘어날 전망. 실제로 국내 H사 등에 100여대의 자율주행로봇을 공급. 시스콘 예상 매출액은 2021년 90억원에서 2022년 150억원 수준까지 증가할 전망. "
